index,type,name,resident,streamed,parentStack
1,string,,49326,0,||assetlist
2,xmodelmesh,p7_zm_der_pswitch_body_lod0324925aa,2336,0,|p7_zm_der_pswitch_body|xmodel|maps/zm/zm_building.d3dbsp|gfx_map|zone_source/zm_building.zone|csv
3,xmodelmesh,p7_zm_der_generator_01_lod06d6fe29a,4144,0,|p7_zm_der_generator_01|xmodel|maps/zm/zm_building.d3dbsp|gfx_map|zone_source/zm_building.zone|csv
4,xmodelmesh,p7_anim_zm_barricade_board_01_lod08c31ae6e,1744,0,|p7_anim_zm_barricade_board_01|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
5,xmodelmesh,p7_anim_zm_barricade_board_02_lod0491df694,1936,0,|p7_anim_zm_barricade_board_02|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
6,xmodelmesh,p7_anim_zm_barricade_board_03_lod017d3dfbc,1840,0,|p7_anim_zm_barricade_board_03|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
7,xmodelmesh,p7_anim_zm_barricade_board_04_lod0fcb92db7,1456,0,|p7_anim_zm_barricade_board_04|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
8,xmodelmesh,p7_anim_zm_barricade_board_05_lod0c7707369,1680,0,|p7_anim_zm_barricade_board_05|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
9,xmodelmesh,p7_anim_zm_barricade_board_06_lod08f8bba21,1872,0,|p7_anim_zm_barricade_board_06|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
10,xmodelmesh,p7_zm_der_pswitch_handle_lod09e863e5e,1520,0,|p7_zm_der_pswitch_handle|xmodel|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
11,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod08fd8a2fc,1456,0,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
12,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod03da2116b,1392,0,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
13,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod0f35667dd,1168,0,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
14,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegspawn_lod034c88b59,1360,0,|c_zom_zod_zombie_fem_body1_g_llegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
15,xmodelmesh,p7_zm_vending_packapunch_lod0e27f6c62,1360,9584,|p7_zm_vending_packapunch_on|xmodel|zmcore_packapunch|zbarrier|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
16,xmodelmesh,p7_zm_der2_vending_packapunch_sign_wait_lod012e8b576,2048,0,|p7_zm_der2_vending_packapunch_sign_wait|xmodel|zmcore_packapunch|zbarrier|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
17,xmodelmesh,p7_zm_der_pswitch_body_lod05296e5de,3984,0,|p7_zm_der_pswitch_body|xmodel|maps/zm/zm_building.d3dbsp|gfx_map|zone_source/zm_building.zone|csv
18,xmodelmesh,p7_zm_der_generator_01_lod015f286e4,464,6736,|p7_zm_der_generator_01|xmodel|maps/zm/zm_building.d3dbsp|gfx_map|zone_source/zm_building.zone|csv
19,xmodelmesh,p7_anim_zm_barricade_board_01_lod0db85d7d7,1664,0,|p7_anim_zm_barricade_board_01|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
20,xmodelmesh,p7_anim_zm_barricade_board_04_lod01e93d5f,1936,0,|p7_anim_zm_barricade_board_04|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
21,xmodelmesh,p7_zm_der_pswitch_handle_lod0250846ac,2080,0,|p7_zm_der_pswitch_handle|xmodel|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
22,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod015c23f93,1776,0,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
23,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod0c7aec304,1552,0,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
24,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod0e0592c13,2048,0,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
25,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegspawn_lod0d8f17acf,1504,0,|c_zom_zod_zombie_fem_body1_g_llegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
26,xmodelmesh,c_zom_der_helmet_1_lod6b584e3ce,1504,0,|c_zom_der_zombie_helmet1|xmodel|c_zom_der_zombie2|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
27,xmodelmesh,c_zom_der_head_1_lod6229e2b02,208,4592,|c_zom_der_zombie_head1|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
28,xmodelmesh,c_zom_der_head_2_lod66291cdde,4336,0,|c_zom_der_zombie_head2|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
29,xmodelmesh,c_zom_der_head_3_lod6b8e32972,208,4928,|c_zom_der_zombie_head3|xmodel|c_zom_der_zombie_headalias|xmodelalias|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
30,xmodelmesh,c_zom_der_zombie_body1_g_behead_lod6cfec6cba,1696,0,|c_zom_der_zombie_body1_g_behead|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
31,xmodelmesh,c_zom_der_zombie_body1_g_lowclean_lod6fa3102be,224,6864,|c_zom_der_zombie_body1_g_lowclean|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
32,xmodelmesh,c_zom_der_zombie_body1_g_rlegoff_lod659e69f26,320,6112,|c_zom_der_zombie_body1_g_rlegoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
33,xmodelmesh,c_zom_der_zombie_body1_g_llegoff_lod67f9aa231,320,6960,|c_zom_der_zombie_body1_g_llegoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
34,xmodelmesh,c_zom_der_zombie_body1_g_blegsoff_lod6d37207be,320,6144,|c_zom_der_zombie_body1_g_blegsoff|xmodel|c_zom_der_zombie1_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
35,xmodelmesh,c_zom_der_zombie_body2_lod6476855ed,608,25680,|c_zom_der_zombie_body2|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
36,xmodelmesh,c_zom_der_zombie_body2_g_upclean_lod6e453bc68,608,18240,|c_zom_der_zombie_body2_g_upclean|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
37,xmodelmesh,c_zom_der_zombie_body2_g_rarmoff_lod6decb6687,704,15136,|c_zom_der_zombie_body2_g_rarmoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
38,xmodelmesh,c_zom_der_zombie_body2_g_larmoff_lod611a802c9,704,16736,|c_zom_der_zombie_body2_g_larmoff|xmodel|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_building.d3dbsp|col_map|zone_source/zm_building.zone|csv
